"election_year","state","type","party","value","party_short","candidate","candidate_state","vp","vp_state","candidate_state_abb","vp_state_abb"
2000,"IN","popvote","democrat",901980,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"IN","popvote","others",51486,NA,NA,NA,NA,NA,NA,NA
2000,"IN","evote","diff",-12,NA,NA,NA,NA,NA,NA,NA
2000,"IN","popvote","diff",-343856,NA,NA,NA,NA,NA,NA,NA
2000,"IN","popvoteperc","democrat",0.41012102930839,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"IN","popvoteperc","republican",0.566468816015263,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"IN","popvoteperc","diff",-0.156347786706873,NA,NA,NA,NA,NA,NA,NA
2000,"IA","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"IA","evote","democrat",7,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"IA","popvote","republican",634373,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"IA","popvote","democrat",638517,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"IA","popvote","others",42673,NA,NA,NA,NA,NA,NA,NA
2000,"IA","evote","diff",7,NA,NA,NA,NA,NA,NA,NA
2000,"IA","popvote","diff",4144,NA,NA,NA,NA,NA,NA,NA
2000,"IA","popvoteperc","democrat",0.485356459553818,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"IA","popvoteperc","republican",0.482206477378886,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"IA","popvoteperc","diff",0.00314998217493195,NA,NA,NA,NA,NA,NA,NA
2000,"KS","evote","republican",6,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"KS","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"KS","popvote","republican",622332,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"KS","popvote","democrat",399276,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"KS","popvote","others",50610,NA,NA,NA,NA,NA,NA,NA
2000,"KS","evote","diff",-6,NA,NA,NA,NA,NA,NA,NA
2000,"KS","popvote","diff",-223056,NA,NA,NA,NA,NA,NA,NA
2000,"KS","popvoteperc","democrat",0.372383228037582,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"KS","popvoteperc","republican",0.58041554982289,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"KS","popvoteperc","diff",-0.208032321785309,NA,NA,NA,NA,NA,NA,NA
2000,"KY","evote","republican",8,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"KY","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"KY","popvote","republican",872492,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"KY","popvote","democrat",638898,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"KY","popvote","others",32797,NA,NA,NA,NA,NA,NA,NA
2000,"KY","evote","diff",-8,NA,NA,NA,NA,NA,NA,NA
2000,"KY","popvote","diff",-233594,NA,NA,NA,NA,NA,NA,NA
